Acciona	0.45%	3.54%	6.15%	20.11%	47.16%	125.46%
Acerinox	-0.59%	4.23%	12.81%	-15.74%	-16.73%	32.68%
ACS	0.65%	3.94%	11.32%	11.41%	12.99%	-28.72%
Aena	0.31%	4.21%	7.56%	-7.28%	-7.04%	-21.67%
Amadeus	-1.44%	1.52%	6.41%	-5.08%	8.28%	-17.65%
ArcelorMittal	-0.62%	3.94%	11.75%	-12.93%	-18.95%	108.32%
Banco de Sabadell	0.78%	6.13%	9.74%	13.45%	9.17%	-10.60%
Bankinter	-0.26%	2.05%	4.71%	12.42%	4.28%	-7.74%
BBVA	0.74%	2.92%	15.05%	-9.64%	-19.44%	10.94%
Caixabank	0.20%	3.52%	12.03%	25.35%	14.80%	44.10%
Cellnex Telecom	2.99%	-1.49%	2.49%	-17.19%	-27.08%	46.67%
Corporacion Acciona Energias Renovables	-0.24%	-1.90%	5.08%	26.95%	34.55%	-
Enagas	0.98%	5.80%	2.11%	-3.90%	-0.51%	-2.07%
Endesa	0.08%	1.40%	-0.14%	-10.37%	-12.91%	-21.59%
Ferrovial	1.39%	1.58%	4.89%	-1.95%	8.40%	10.71%
Fluidra	-0.34%	0.67%	-4.59%	-46.55%	-46.01%	86.29%
Gamesa	-0.09%	0.10%	0.44%	-14.70%	-26.01%	45.47%
Grifols	0.86%	-1.75%	-17.29%	-18.00%	-33.41%	-51.70%
IAG	-0.56%	-0.49%	9.64%	-16.90%	-27.88%	-70.70%
Iberdrola	0.72%	3.02%	6.74%	7.90%	10.82%	30.60%
Inditex	1.13%	5.13%	7.03%	-10.60%	-14.27%	-3.17%
Indra A	-0.69%	1.35%	-9.31%	-9.40%	-4.38%	19.79%
Inmobiliaria Colonial	-0.07%	2.53%	10.87%	-19.03%	-28.56%	-34.70%
Laborat.Rovi	0.19%	1.98%	-14.99%	-30.08%	-16.50%	137.79%
Mapfre	-0.18%	4.30%	4.43%	-7.34%	-8.38%	-30.15%
Melia Hotels	0.86%	3.69%	14.05%	7.55%	8.45%	-10.97%
Merlin Properties SA	0.66%	3.60%	4.91%	3.81%	1.17%	-17.55%
Naturgy Energy	-0.25%	0.94%	-1.21%	-2.97%	27.67%	18.52%
Pharma Mar	0.36%	1.47%	-9.40%	8.84%	-11.24%	219.63%
Red Electrica	0.08%	1.42%	5.61%	1.39%	11.99%	9.66%
Repsol	2.14%	6.30%	2.93%	20.04%	28.56%	5.69%
Sacyr	0.77%	6.60%	4.71%	3.15%	12.72%	17.08%
Santander	1.36%	7.75%	7.44%	-9.88%	-19.10%	-22.12%
Solaria	1.44%	1.58%	5.23%	31.72%	41.34%	315.67%
Telefonica	0.93%	1.79%	-11.09%	11.25%	3.96%	-23.42%
didas	-0.69%	-1.76%	7.16%	-32.01%	-44.82%	-34.21%
Airbus Group	0.07%	3.67%	6.94%	-3.64%	-6.59%	-14.06%
Allianz	0.55%	0.01%	0.06%	-13.57%	-11.02%	-10.37%
